iter	Passed	Remaining
0	1	1431
1	2	1234
2	3	1291
3	4	1190
4	6	1231
5	7	1307
6	9	1312
7	10	1324
8	23	2558
9	24	2413
10	25	2279
11	26	2161
12	27	2084
13	28	2003
14	29	1924
15	30	1856
16	30	1778
17	31	1723
18	32	1675
19	33	1632
20	34	1601
21	35	1571
22	36	1543
23	37	1531
24	38	1504
25	39	1477
26	40	1455
27	41	1436
28	42	1413
29	43	1394
30	44	1380
31	45	1364
32	45	1343
33	46	1329
34	47	1318
35	48	1301
36	49	1291
37	50	1278
38	51	1257
39	51	1247
40	52	1239
41	54	1235
42	55	1230
43	56	1220
44	56	1204
45	57	1186
46	57	1171
47	58	1166
48	59	1162
49	60	1155
50	61	1149
51	62	1143
52	63	1137
53	64	1127
54	64	1113
55	65	1104
56	66	1102
57	67	1096
58	68	1091
59	69	1086
60	70	1082
61	71	1077
62	71	1068
63	72	1065
64	73	1061
65	74	1057
66	75	1053
67	76	1047
68	77	1043
69	78	1040
70	79	1033
71	79	1025
72	80	1023
73	81	1021
74	82	1017
75	83	1018
76	84	1012
77	85	1013
78	86	1012
79	87	1007
80	88	1002
81	89	1001
82	90	995
83	91	992
84	91	990
85	92	987
86	93	984
87	94	981
88	95	978
89	96	976
90	97	974
91	98	973
92	99	971
93	100	969
94	101	967
95	102	965
96	103	961
97	104	958
98	105	957
99	106	955
100	106	948
101	107	946
102	108	945
103	109	942
104	109	936
105	110	934
106	111	931
107	112	926
108	113	924
109	113	922
110	114	920
111	115	918
112	116	913
113	117	912
114	118	912
115	119	910
116	120	907
117	121	905
118	121	901
119	122	896
120	123	894
121	123	892
122	124	887
123	125	885
124	125	881
125	126	880
126	127	879
127	128	877
128	129	873
129	130	872
130	130	868
131	131	867
132	132	866
133	133	865
134	134	861
135	135	858
136	136	857
137	137	856
138	138	856
139	139	855
140	140	853
141	141	852
142	141	849
143	142	848
144	143	847
145	144	847
146	145	846
147	146	845
148	147	841
149	148	840
150	149	837
151	149	834
152	150	833
153	151	832
154	152	830
155	153	829
156	154	827
157	154	825
158	155	824
159	156	823
160	157	823
161	158	821
162	159	820
163	160	818
164	161	817
165	162	816
166	163	815
167	164	814
168	165	813
169	166	811
170	167	810
171	168	809
172	169	807
173	169	804
174	170	802
175	171	801
176	172	800
177	172	798
178	173	797
179	174	796
180	175	794
181	176	794
182	177	791
183	178	790
184	179	789
185	180	788
186	181	787
187	181	785
188	182	782
189	183	782
190	184	781
191	185	779
192	186	779
193	187	778
194	188	777
195	189	775
196	189	773
197	190	771
198	191	770
199	191	767
200	192	766
201	193	765
202	194	764
203	195	763
204	196	763
205	197	760
206	198	759
207	198	757
208	199	755
209	200	753
210	201	752
211	202	751
212	203	751
213	204	750
214	205	749
215	206	748
216	207	747
217	208	746
218	208	744
219	209	741
220	210	740
221	211	739
222	211	738
223	212	737
224	213	735
225	214	734
226	215	733
227	216	732
228	217	731
229	218	730
230	218	728
231	219	727
232	220	726
233	221	725
234	222	723
235	223	722
236	224	721
237	225	721
238	226	720
239	227	719
240	227	717
241	229	717
242	230	717
243	231	716
244	232	715
245	233	714
246	234	713
247	234	711
248	235	711
249	236	710
250	237	709
251	238	708
252	239	706
253	240	704
254	240	702
255	241	702
256	242	701
257	243	699
258	244	698
259	244	697
260	245	695
261	246	694
262	247	692
263	248	691
264	249	691
265	250	690
266	250	688
267	251	687
268	252	686
269	253	686
270	254	685
271	255	684
272	256	683
273	257	682
274	258	681
275	259	679
276	260	679
277	260	677
278	261	675
279	262	674
280	262	672
281	263	671
282	264	670
283	265	669
284	266	668
285	266	666
286	267	665
287	268	664
288	269	662
289	270	661
290	271	660
291	271	659
292	272	657
293	273	655
294	274	655
295	274	654
296	276	653
297	276	651
298	277	649
299	278	648
300	279	648
301	280	647
302	281	646
303	282	645
304	282	644
305	283	643
306	284	642
307	285	640
308	285	639
309	287	639
310	287	637
311	288	635
312	289	635
313	290	634
314	291	634
315	292	633
316	293	632
317	294	632
318	295	631
319	296	630
320	297	629
321	298	628
322	299	627
323	300	626
324	301	625
325	302	624
326	303	624
327	304	623
328	305	622
329	306	621
330	306	620
331	307	619
332	308	617
333	309	616
334	310	615
335	311	614
336	312	613
337	313	613
338	313	611
339	314	610
340	315	609
341	316	608
342	317	607
343	318	606
344	319	606
345	320	606
346	321	605
347	322	604
348	323	603
349	324	602
350	325	601
351	326	600
352	327	600
353	328	599
354	329	597
355	330	597
356	330	596
357	331	594
358	332	593
359	333	592
360	334	591
361	334	590
362	335	589
363	336	587
364	337	586
365	338	585
